NAMESPACE,POD,CONTAINER,WHOAMI,ID
gpu-operator,nvidia-device-plugin-daemonset-8vc7p,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-dcgm-exporter-xt4km,nvidia-dcgm-exporter,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-v7tnq,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-qblsv,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-9vljw,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-7nlw5,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-4xpsk,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-tkhhm,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-49scz,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-9kc4z,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-wcrvk,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-7j6g7,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-rx58p,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-45xq6,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-bktn4,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-5m22n,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
hydra,hydra-postgresqlha-pgpool-6d785cbc59-rt8fz,pgpool,"",""
hydra,hydra-litellm-5b5b4ccbd9-zmt57,litellm-container,"",""
hydra,hydra-home-page-7b6cdd5bd7-p84wv,home-page,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
hydra,hydra-postgresqlha-pgpool-6d785cbc59-x9mws,pgpool,"",""
hydra,hydra-postgresqlha-pgpool-6d785cbc59-tj6mf,pgpool,"",""
hydra,hydra-postgresqlha-postgresql-1,postgresql,"",""
hydra,hydra-litellm-69f579cc85-xtxmm,litellm-container,"root","uid=0(root) gid=0(root) groups=0(root)"
hydra,hydra-postgresqlha-postgresql-0,metrics,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-postgresqlha-postgresql-0,postgresql,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-postgresqlha-postgresql-2,postgresql,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-redis-master-0,redis,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-postgresqlha-postgresql-1,metrics,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-postgresqlha-postgresql-2,metrics,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-redis-master-0,metrics,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-redis-replicas-0,metrics,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-redis-replicas-0,redis,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-redis-replicas-1,redis,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-unieaifrontend-76b8cbb6d9-f2dlc,unieaifrontend,"root","uid=0(root) gid=0(root) groups=0(root)"
hydra,hydra-redis-replicas-2,metrics,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-vllm-taide-llama-3-1-taide-lx-8b-chat-846fcb9744-nwpjj,vllm,"root","uid=0(root) gid=0(root) groups=0(root)"
ingress-nginx,ingress-nginx-controller-7pxvq,controller,"www-data","uid=101(www-data) gid=82(www-data) groups=82(www-data)"
ingress-nginx,ingress-nginx-controller-lzsh6,controller,"www-data","uid=101(www-data) gid=82(www-data) groups=82(www-data)"
hydra,hydra-redis-replicas-2,redis,"N/A","uid=1001 gid=1001 groups=1001"
ingress-nginx,ingress-nginx-controller-kdrbz,controller,"",""
hydra,hydra-redis-replicas-1,metrics,"N/A","uid=1001 gid=1001 groups=1001"
iservice,iservice-deployment-f7cf58f57-xndkx,iservice,"appuser","uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)"
ingress-nginx,ingress-nginx-controller-6rq25,controller,"",""
iservice,pgvector-deployment-5fffb6f659-nbf22,pgvector-db,"root","uid=0(root) gid=0(root) groups=0(root)"
ingress-nginx,ingress-nginx-controller-p2v7w,controller,"www-data","uid=101(www-data) gid=82(www-data) groups=82(www-data)"
iservice-pricing,eval-pricing-6cd698f8d-6fvs9,eval-pricing,"root","uid=0(root) gid=0(root) groups=0(root)"
kai-scheduler,binder-68bbbb4b9c-4dqwf,binder,"N/A","uid=65532 gid=0(root) groups=0(root)"
kai-scheduler,podgroup-controller-c986d54bc-ljzz6,podgroup-controller,"N/A","uid=65532 gid=0(root) groups=0(root)"
ingress-nginx,ingress-nginx-controller-qx4sr,controller,"www-data","uid=101(www-data) gid=82(www-data) groups=82(www-data)"
ingress-nginx,ingress-nginx-controller-rnhfj,controller,"www-data","uid=101(www-data) gid=82(www-data) groups=82(www-data)"
ingress-nginx,ingress-nginx-controller-rwdm5,controller,"www-data","uid=101(www-data) gid=82(www-data) groups=82(www-data)"
kai-scheduler,queuecontroller-968cb4bb7-t847g,queuecontroller,"N/A","uid=65532 gid=0(root) groups=0(root)"
kai-scheduler,scheduler-5b69485864-pct6n,scheduler,"N/A","uid=65532 gid=0(root) groups=0(root)"
kai-scheduler,podgrouper-67ccf47649-rtlbx,podgrouper,"N/A","uid=65532 gid=0(root) groups=0(root)"
kube-system,cilium-envoy-g8hsv,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-d9z2r,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-bgprm,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-48555,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-vgb2z,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-dz5ht,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-d9627,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-s5qrp,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-kzsl4,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-m9f64,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-ftxj5,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-operator-5698b5594c-c9qwg,cilium-operator,"",""
kube-system,cilium-operator-5698b5594c-5m2bg,cilium-operator,"",""
kube-system,cilium-envoy-xjlqm,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-envoy-hmnpw,cilium-envoy,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-vmtpn,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,coredns-659dc5fd74-6mrf2,coredns,"",""
kube-system,cilium-pvg77,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,cilium-xzb8f,cilium-agent,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,coredns-659dc5fd74-5kwh9,coredns,"",""
kube-system,csi-iscsi-node-2fg68,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-7tmhd,node-driver-registrar,"",""
kube-system,csi-iscsi-node-7tmhd,liveness-probe,"",""
kube-system,csi-iscsi-node-2fg68,liveness-probe,"",""
kube-system,csi-iscsi-node-2fg68,node-driver-registrar,"",""
kube-system,csi-iscsi-node-dpjh9,liveness-probe,"",""
kube-system,csi-iscsi-node-7tmhd,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-dpjh9,node-driver-registrar,"",""
kube-system,csi-iscsi-node-hvrpc,node-driver-registrar,"",""
kube-system,csi-iscsi-node-dpjh9,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-fh9ms,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-fh9ms,liveness-probe,"",""
kube-system,csi-iscsi-node-hvrpc,liveness-probe,"",""
kube-system,csi-iscsi-node-fh9ms,node-driver-registrar,"",""
kube-system,csi-iscsi-node-hvrpc,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-qnrkj,liveness-probe,"",""
kube-system,csi-iscsi-node-qnrkj,node-driver-registrar,"",""
kube-system,csi-iscsi-node-qnrkj,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-qtgvw,iscsi,"root","uid=0(root) gid=0(root) groups=0(root)"
kube-system,csi-iscsi-node-qtgvw,liveness-probe,"",""
kube-system,csi-iscsi-node-qtgvw,node-driver-registrar,"",""
kube-system,etcd-master-3,etcd,"N/A","N/A"
kube-system,kube-apiserver-master-2,kube-apiserver,"",""
kube-system,etcd-master-1,etcd,"N/A","N/A"
kube-system,kube-apiserver-master-1,kube-apiserver,"",""
kube-system,etcd-master-2,etcd,"N/A","N/A"
kube-system,kube-controller-manager-master-1,kube-controller-manager,"",""
kube-system,kube-apiserver-master-3,kube-apiserver,"",""
kube-system,kube-proxy-nkkgb,kube-proxy,"N/A","N/A"
kube-system,kube-proxy-r89b7,kube-proxy,"N/A","N/A"
kube-system,kube-controller-manager-master-3,kube-controller-manager,"",""
kube-system,kube-proxy-4hm9p,kube-proxy,"N/A","N/A"
kube-system,kube-controller-manager-master-2,kube-controller-manager,"",""
kube-system,kube-proxy-rtp2b,kube-proxy,"N/A","N/A"
kube-system,kube-proxy-ps7xq,kube-proxy,"N/A","N/A"
kube-system,kube-proxy-pnk9r,kube-proxy,"N/A","N/A"
kube-system,kube-proxy-stwcv,kube-proxy,"N/A","N/A"
kube-system,kube-scheduler-master-1,kube-scheduler,"",""
kube-system,kube-proxy-vk85m,kube-proxy,"N/A","N/A"
kube-system,kube-scheduler-master-2,kube-scheduler,"",""
kube-system,nfs-provisioner-69dd87d6fc-m2x7b,nfs-provisioner,"",""
kube-system,metrics-server-7f9799b649-prfsm,metrics-server,"",""
kube-system,kube-scheduler-master-3,kube-scheduler,"",""
kube-system,ssd-nfs-provisioner-546cb6ddb5-f84r8,nfs-provisioner,"",""
kube-system,pgha-provisioner-69bdf68b59-l762g,nfs-provisioner2,"",""
logging,elasticsearch-master-0,elasticsearch,"elasticsearch","uid=1000(elasticsearch) gid=1000(elasticsearch) groups=1000(elasticsearch),0(root)"
logging,elasticsearch-master-2,elasticsearch,"elasticsearch","uid=1000(elasticsearch) gid=1000(elasticsearch) groups=1000(elasticsearch),0(root)"
logging,elasticsearch-master-1,elasticsearch,"elasticsearch","uid=1000(elasticsearch) gid=1000(elasticsearch) groups=1000(elasticsearch),0(root)"
logging,fluent-bit-4724p,fluent-bit,"",""
logging,fluent-bit-l8fkd,fluent-bit,"",""
logging,fluent-bit-cjcv2,fluent-bit,"",""
logging,fluent-bit-m6fdd,fluent-bit,"",""
logging,fluent-bit-t9bkh,fluent-bit,"",""
logging,fluent-bit-n5zdp,fluent-bit,"",""
logging,fluent-bit-wcsg4,fluent-bit,"",""
logging,fluentd-0,fluentd,"",""
logging,kafka-controller-2,kafka,"N/A","uid=1001 gid=1001 groups=1001"
logging,kibana-kibana-5ff5c7fcc4-m4d9j,kibana,"kibana","uid=1000(kibana) gid=1000(kibana) groups=1000(kibana),0(root)"
logging,kafka-controller-1,kafka,"N/A","uid=1001 gid=1001 groups=1001"
logging,kafka-ui-648b459bb-r754z,kafka-ui,"kafkaui","uid=100(kafkaui) gid=101(kafkaui) groups=101(kafkaui)"
logging,opensearch-cluster-master-0,opensearch,"opensearch","uid=1000(opensearch) gid=1000(opensearch) groups=1000(opensearch)"
monitoring,alertmanager-prometheus-kube-prometheus-alertmanager-0,alertmanager,"N/A","uid=1000 gid=2000 groups=2000"
logging,opensearch-dashboards-747f45db4-lqlz2,dashboards,"opensearch-dashboards","uid=1000(opensearch-dashboards) gid=1000(opensearch-dashboards) groups=1000(opensearch-dashboards)"
monitoring,prometheus-kube-state-metrics-847f565bdf-vtsxz,kube-state-metrics,"",""
monitoring,prometheus-blackbox-prometheus-blackbox-exporter-9598495f68ctwf,blackbox-exporter,"N/A","uid=1000 gid=1000 groups=1000"
monitoring,alertmanager-prometheus-kube-prometheus-alertmanager-0,config-reloader,"N/A","uid=1000 gid=2000 groups=2000"
monitoring,prometheus-grafana-6f95467b44-x2lgk,grafana-sc-dashboard,"N/A","uid=472 gid=472 groups=472"
monitoring,prometheus-prometheus-kube-prometheus-prometheus-0,prometheus,"N/A","uid=1000 gid=2000 groups=2000"
monitoring,prometheus-grafana-6f95467b44-x2lgk,grafana-sc-datasources,"N/A","uid=472 gid=472 groups=472"
monitoring,prometheus-grafana-6f95467b44-x2lgk,grafana,"grafana","uid=472(grafana) gid=472 groups=0(root),472"
monitoring,prometheus-kube-prometheus-operator-77b45d69ff-9f6tb,kube-prometheus-stack,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
monitoring,prometheus-prometheus-kube-prometheus-prometheus-0,thanos-sidecar,"N/A","uid=1000 gid=2000 groups=2000"
monitoring,prometheus-prometheus-kube-prometheus-prometheus-0,config-reloader,"N/A","uid=1000 gid=2000 groups=2000"
monitoring,prometheus-prometheus-node-exporter-cfxbc,node-exporter,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
monitoring,prometheus-prometheus-node-exporter-gbljj,node-exporter,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
monitoring,prometheus-prometheus-node-exporter-d9mb6,node-exporter,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
monitoring,prometheus-prometheus-node-exporter-kmfxd,node-exporter,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
monitoring,prometheus-prometheus-node-exporter-zjrwp,node-exporter,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
monitoring,prometheus-prometheus-node-exporter-mwjhx,node-exporter,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
monitoring,prometheus-prometheus-node-exporter-rk7mb,node-exporter,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
monitoring,thanos-ruler-0,ruler,"",""
monitoring,thanos-query-c656fddf7-nh7wc,query,"",""
monitoring,thanos-bucketweb-64c4866dfb-l64b8,bucketweb,"",""
monitoring,thanos-query-frontend-654c7dbf77-vqmpl,query-frontend,"",""
monitoring,prometheus-prometheus-node-exporter-zjgk4,node-exporter,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
monitoring,thanos-storegateway-0,storegateway,"",""
openldap,openldap-0,openldap,"root","uid=0(root) gid=0(root) groups=0(root)"
monitoring,thanos-compactor-59c99c6cdb-jwh5l,compactor,"",""
opensearch-test,opensearch-cluster-master-1,opensearch,"opensearch","uid=1000(opensearch) gid=1000(opensearch) groups=1000(opensearch)"
opensearch-test,opensearch-cluster-master-0,opensearch,"opensearch","uid=1000(opensearch) gid=1000(opensearch) groups=1000(opensearch)"
opensearch-test,opensearch-cluster-master-2,opensearch,"opensearch","uid=1000(opensearch) gid=1000(opensearch) groups=1000(opensearch)"
openldap,phpldapadmin-54cf8f6494-ff6nd,phpldapadmin,"root","uid=0(root) gid=0(root) groups=0(root)"
portal-app-gov113102,gov113102-aaa-openwebui-dfb7476f4-78fsz,openwebui,"root","uid=0(root) gid=0(root) groups=0(root)"
opensearch-test,opensearch-dashboards-test-689df4cbcf-s7z5f,dashboards,"opensearch-dashboards","uid=1000(opensearch-dashboards) gid=1000(opensearch-dashboards) groups=1000(opensearch-dashboards)"
portal-app-gov113102,gov113102-aaa-home-page-5b48bd74d5-bpwbl,home-page,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
prome-metric-dev,summary-db-stg-postgresql-ha-postgresql-0,postgresql,"",""
prome-metric-dev,summary-db-stg-postgresql-ha-postgresql-0,metrics,"N/A","uid=1001 gid=1001 groups=1001"
prome-metric-dev,summary-db-stg-postgresql-ha-pgpool-798d96d6df-d7vrk,pgpool,"N/A","uid=1001 gid=1001 groups=1001"
prome-metric-dev,summary-db-stg-postgresql-ha-pgpool-798d96d6df-889nq,pgpool,"",""
prome-metric-dev,summary-db-stg-postgresql-ha-postgresql-2,postgresql,"",""
prome-metric-dev,summary-db-stg-postgresql-ha-pgpool-798d96d6df-fdq7g,pgpool,"N/A","uid=1001 gid=1001 groups=1001"
role-check,cronjob-role-check-29359320-c97g7,cronjob-role-check,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
quota-operator,quota-operator-77b5f994c-cf4vs,operator,"root","uid=0(root) gid=0(root) groups=0(root)"
skywalking,elasticsearch-cluster-default-0,elasticsearch,"elasticsearch","uid=1000(elasticsearch) gid=1000(elasticsearch) groups=1000(elasticsearch),0(root)"
prome-metric-dev,summary-db-stg-postgresql-ha-postgresql-1,postgresql,"N/A","uid=1001 gid=1001 groups=1001"
prome-metric-dev,summary-db-stg-postgresql-ha-postgresql-1,metrics,"N/A","uid=1001 gid=1001 groups=1001"
prome-metric-dev,summary-db-stg-postgresql-ha-postgresql-2,metrics,"N/A","uid=1001 gid=1001 groups=1001"
skywalking,skywalking-cluster-master-0,elasticsearch,"elasticsearch","uid=1000(elasticsearch) gid=1000(elasticsearch) groups=1000(elasticsearch),0(root)"
skywalking,skywalking-rover-4wkmn,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-rover-pmhxn,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-rover-st6t6,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-cluster-master-1,elasticsearch,"elasticsearch","uid=1000(elasticsearch) gid=1000(elasticsearch) groups=1000(elasticsearch),0(root)"
skywalking,skywalking-rover-4666n,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-cluster-master-2,elasticsearch,"elasticsearch","uid=1000(elasticsearch) gid=1000(elasticsearch) groups=1000(elasticsearch),0(root)"
skywalking,skywalking-rover-dx8hx,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-rover-nqtpz,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,skywalking-skywalking-helm-satellite-67f686d79c-xslk8,satellite,"N/A","uid=1000 gid=1000 groups=1000"
skywalking,skywalking-skywalking-helm-oap-765c9f45b-dhcsf,oap,"root","uid=0(root) gid=0(root) groups=0(root)"
skywalking,swck-operator-operator-6fd4b6ff44-25fqq,kube-rbac-proxy,"",""
skywalking,skywalking-skywalking-helm-oap-765c9f45b-5gd86,oap,"root","uid=0(root) gid=0(root) groups=0(root)"
skywalking,skywalking-rover-cfxzn,skywalking-rover,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
skywalking,swck-operator-operator-6fd4b6ff44-25fqq,manager,"",""
skywalking,skywalking-skywalking-helm-ui-f49c5b5bf-7fchh,ui,"root","uid=0(root) gid=0(root) groups=0(root)"
slinky,slurm-operator-6b8bc7dfcc-dpsdr,slurm-operator,"",""
slinky,slurm-operator-webhook-6c7cb4795b-chllh,webhook,"",""
slurm,slurm-controller-0,slurmctld,"slurm","uid=401(slurm) gid=401(slurm) groups=401(slurm)"
slurm,slurm-worker-gpu-node-0,slurmd,"root","uid=0(root) gid=0(root) groups=0(root)"
slurm,slurm-controller-0,reconfigure,"slurm","uid=401(slurm) gid=401(slurm) groups=401(slurm)"
slurm,slurm-login-slinky-85f757775d-m6wts,login,"root","uid=0(root) gid=0(root) groups=0(root)"
slurm,slurm-exporter-d47f85d58-tv248,metrics,"",""
slurm,slurm-restapi-f95c6dd6c-lw5w4,slurmrestd,"nobody","uid=65534(nobody) gid=65534(nogroup) groups=65534(nogroup)"
slurm,slurm-worker-tiny-0,slurmd,"root","uid=0(root) gid=0(root) groups=0(root)"
slurm,slurm-worker-slinky-0,slurmd,"root","uid=0(root) gid=0(root) groups=0(root)"
yychen1218,openai-api-forward-796c797565-cr9lb,openai-api-proxy,"root","uid=0(root) gid=0(root) groups=0(root)"
slurm,slurm-worker-tiny-2,slurmd,"root","uid=0(root) gid=0(root) groups=0(root)"
yychen1218,litellm-6fd78d5d76-nkfrg,litellm,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
slurm,slurm-worker-tiny-3,slurmd,"root","uid=0(root) gid=0(root) groups=0(root)"
yychen1218,prometheus-55d78dbb7d-xj55d,prometheus,"nobody","uid=65534(nobody) gid=65534(nobody) groups=65534(nobody)"
slurm,slurm-worker-tiny-1,slurmd,"root",""
slurm,slurm-worker-tiny-4,slurmd,"root",""
yychen1218,public-chat-566b9c6ff8-mfpsx,public-chat,"root",""
yychen1218,litellm-db-0,litellm-db,"",""
